CUST_ANAME,ITEM_NO,ITEM_NAME,MODEL,PRICE
IMCT,897941-8522(8521) ,OIL PUMP ASSY,4JA1OP,425.25
TIS,897942-4663(897942-4662),OIL PUMP ASSY,4JH1OP,425.25
IMCT,897942-2091(8-97942972-0),WATER PUMP ASSY,4JH1WP,0
IMCT,897912-5400,RELIEF VALVE ASM,4JA1RV,0
TIS,897920-4230,RELIEF VALVE ASM,4JA1RV,0
IMCT,897940-1570,WATER PUMP ASSY,4JA1WP,0
NPT,21010-7M600E,WATER PUMP ASSY,HS(E) WP,16.59
MEC,MD181579X1,FRONT CASE ASSY,4D5OP,0
MEC,MD328077V,WATER PUMP ASSY,P-CARWP(4D5),0
MEC,MD328078V,WATER PUMP ASSY,4D5WP,0
MEC,ME201860V,OIL PUMP ASSY,4M4OP,0
MEC,ME191476,WATER PUMP ASSY,4M4WP,0
MMCH,MD323372,WATER PUMP ASSY,4G1EWP,0
MEC,MD370803,WATER PUMP ASSY,4G1EWP-JT,0
MEC,MD332352 (NEW),OIL PUMP ASSY,4G1E OP,5.74
MEC,MN149597V,OIL PUMP ASSY,4G1EOP(JT),5.74
MEC,1211A073X('MD342095V),CASE ASSY OIL PUMP,4G9EOP,14.03
MEC,MD309756V,WATER PUMP ASSY,4G9EWP,30.31
SAT,16100-82605,OIL PUMP ASSY,Y71OP,0
SAT,17400-83002,WATER PUMP ASSY,Y71WP,0
TBK,513611-0771-CT,BODY (EXPORT),4FA1,0
TBK,L120-01700-SK,GEAR (EXPORT),4JA1OP,0
TBK,L120-01721-SKT,GEAR (EXPORT),4JA1OP,0
TBK,894244-6570-CT,BODY (EXPORT),4ZC1(TBK),0
TBK,J105-08340-FW,BODY (EXPORT),4JX1(TBK),0
TBK,821011-6280-FW,BODY (EXPORT),TD27(TBK),0
PMSB,16100-87Z01(16100-X3690),WATER PUMP ASSY,KANCIL,0
KUI,14X-30-14133,COLLAR,D65,0
KUI,14X-30-15140,RING,D65,0
KUI,22U-30-11430 (A),COLLAR,PC200,0
KUI,22U-30-11440 (B),COLLAR,PC200,0
KUI,22U-30-25120,SUPPORT,PC200,0
KUI,22U-30-25140,COVER,PC200,0
KUI,207-30-71551,COLLAR,PC300,0
KUI,207-30-71561,COLLAR,PC300,0
KUI,207-30-75120,SUPPORT,PC300,0
KUI,207-30-75140,COVER,PC300,0
DIT,3PD00634-2J-FW,CYLINDER ,MID-I,0
DIT,2PD00786-6Q-FW,CRANK-SHAFT(21),SMALL,0
DIT,2PD00786-5Q-FW,CRANK-SHAFT(26),SMALL,0
DIT,3PD00934-3M-FW,CYLINDER,SMALL,0
DIT,W213102-6N-FW,CRANK-SHAFT(27),SMALL,0
DIT,W213102-7N-FW,CRANK-SHAFT(30),SMALL,0
AAT,WLE7-10550,COVER ASSY,AAT,0
HIAMS,949586-9G90-00,PULLEY DRIVE,UJT,0
