"PD","LINE_CD","LINE_NAME","item_cd","ITEM_NAME","MODEL","SCAN_QTY","WI","PROD_ITEM","PROD_PLAN","WORK_ODR_DLV_DATE","SCAN_LOT","TAG_TYP","TAG_READED","SCAN_EMP","TERM_CD","UPDATE_DATE","UPDATE_BY","TAG_SEQ","LOCATION_PART"
"K1PD01","K1A003","3E00 4D5 4M4 4G6 WATER PUMP ASSY 4N15 BKT COOLING FAN","J105-39300","BRKT COOLING FAN","4N15","560.00","5100119019","1320A047","720","2019-10-16 00:00:00","IJ11","1","GAK1M07020191011901J105-39300               20191011   560IJ11                         2019101190151001","01186","PICK001","2019-10-15 16:09:00","01186","IJ11001","C1GC0001"
"K1PD01","K1A003","3E00 4D5 4M4 4G6 WATER PUMP ASSY 4N15 BKT COOLING FAN","J105-39300","BRKT COOLING FAN","4N15","160.00","5100119019","1320A047","720","2019-10-16 00:00:00","IJ14","1","GAK1M07020191014001J105-39300               20191014   672IJ14                         2019101400151001","01186","PICK001","2019-10-15 16:09:00","01186","IJ14001","C1GC0001"
"K1PD01","K1A003","3E00 4D5 4M4 4G6 WATER PUMP ASSY 4N15 BKT COOLING FAN","J113-12500","BEARING UNIT","G-CAR(4N15)","10.00","5100119019","1320A047","720","2019-10-16 00:00:00","5100081455","1","GD5100081455J113-12500               L403900000160000000010053","01186","PICK001","2019-10-15 14:47:00","01186","5100081455053","H4GE0205"
"K1PD01","K1A003","3E00 4D5 4M4 4G6 WATER PUMP ASSY 4N15 BKT COOLING FAN","J113-12500","BEARING UNIT","G-CAR(4N15)","25.00","5100119019","1320A047","720","2019-10-16 00:00:00","5100081455","1","GD5100081455J113-12500               L403900000160000000025025","01186","PICK001","2019-10-15 14:47:00","01186","5100081455025","H4GE0205"
"K1PD01","K1A003","3E00 4D5 4M4 4G6 WATER PUMP ASSY 4N15 BKT COOLING FAN","J113-12500","BEARING UNIT","G-CAR(4N15)","25.00","5100119019","1320A047","720","2019-10-16 00:00:00","5100081455","1","GD5100081455J113-12500               L403900000160000000025021","01186","PICK001","2019-10-15 14:47:00","01186","5100081455021","H4GE0205"
"K1PD01","K1A003","3E00 4D5 4M4 4G6 WATER PUMP ASSY 4N15 BKT COOLING FAN","J113-12500","BEARING UNIT","G-CAR(4N15)","25.00","5100119019","1320A047","720","2019-10-16 00:00:00","5100081455","1","GD5100081455J113-12500               L403900000160000000025013","01186","PICK001","2019-10-15 14:47:00","01186","5100081455013","H4GE0205"
"K1PD01","K1A003","3E00 4D5 4M4 4G6 WATER PUMP ASSY 4N15 BKT COOLING FAN","J113-12500","BEARING UNIT","G-CAR(4N15)","25.00","5100119019","1320A047","720","2019-10-16 00:00:00","5100081455","1","GD5100081455J113-12500               L403900000160000000025009","01186","PICK001","2019-10-15 14:47:00","01186","5100081455009","H4GE0205"
"K1PD01","K1A003","3E00 4D5 4M4 4G6 WATER PUMP ASSY 4N15 BKT COOLING FAN","J113-12500","BEARING UNIT","G-CAR(4N15)","25.00","5100119019","1320A047","720","2019-10-16 00:00:00","5100081455","1","GD5100081455J113-12500               L403900000160000000025001","01186","PICK001","2019-10-15 14:47:00","01186","5100081455001","H4GE0205"
"K1PD01","K1A003","3E00 4D5 4M4 4G6 WATER PUMP ASSY 4N15 BKT COOLING FAN","J113-12500","BEARING UNIT","G-CAR(4N15)","25.00","5100119019","1320A047","720","2019-10-16 00:00:00","5100081455","1","GD5100081455J113-12500               L403900000160000000025041","01186","PICK001","2019-10-15 14:47:00","01186","5100081455041","H4GE0205"
"K1PD01","K1A003","3E00 4D5 4M4 4G6 WATER PUMP ASSY 4N15 BKT COOLING FAN","J113-12500","BEARING UNIT","G-CAR(4N15)","25.00","5100119019","1320A047","720","2019-10-16 00:00:00","5100081455","1","GD5100081455J113-12500               L403900000160000000025012","01186","PICK001","2019-10-15 14:47:00","01186","5100081455012","H4GE0205"
